path,word
iam_words/words/a01/a01-000u/a01-000u-00-00.png,A
iam_words/words/a01/a01-000u/a01-000u-00-01.png,MOVE
iam_words/words/a01/a01-000u/a01-000u-00-02.png,to
iam_words/words/a01/a01-000u/a01-000u-00-03.png,stop
iam_words/words/a01/a01-000u/a01-000u-00-04.png,Mr.
iam_words/words/a01/a01-000u/a01-000u-00-05.png,Gaitskell
iam_words/words/a01/a01-000u/a01-000u-00-06.png,from
iam_words/words/a01/a01-000u/a01-000u-01-00.png,nominating
iam_words/words/a01/a01-000u/a01-000u-01-01.png,any
iam_words/words/a01/a01-000u/a01-000u-01-02.png,more
iam_words/words/a01/a01-000u/a01-000u-01-03.png,Labour
iam_words/words/a01/a01-000u/a01-000u-01-04.png,life
iam_words/words/a01/a01-000u/a01-000u-01-05.png,Peers
iam_words/words/a01/a01-000u/a01-000u-02-00.png,is
iam_words/words/a01/a01-000u/a01-000u-02-01.png,to
iam_words/words/a01/a01-000u/a01-000u-02-02.png,be
iam_words/words/a01/a01-000u/a01-000u-02-03.png,made
iam_words/words/a01/a01-000u/a01-000u-02-04.png,at
iam_words/words/a01/a01-000u/a01-000u-02-05.png,a
iam_words/words/a01/a01-000u/a01-000u-02-06.png,meeting
iam_words/words/a01/a01-000u/a01-000u-02-07.png,of
iam_words/words/a01/a01-000u/a01-000u-02-08.png,Labour
iam_words/words/a01/a01-000u/a01-000u-03-00.png,M Ps
iam_words/words/a01/a01-000u/a01-000u-03-01.png,tomorrow
iam_words/words/a01/a01-000u/a01-000u-03-02.png,.
iam_words/words/a01/a01-000u/a01-000u-03-03.png,Mr.
iam_words/words/a01/a01-000u/a01-000u-03-04.png,Michael
iam_words/words/a01/a01-000u/a01-000u-03-05.png,Foot
iam_words/words/a01/a01-000u/a01-000u-03-06.png,has
iam_words/words/a01/a01-000u/a01-000u-04-00.png,put
iam_words/words/a01/a01-000u/a01-000u-04-01.png,down
iam_words/words/a01/a01-000u/a01-000u-04-02.png,a
iam_words/words/a01/a01-000u/a01-000u-04-03.png,resolution
iam_words/words/a01/a01-000u/a01-000u-04-04.png,on
iam_words/words/a01/a01-000u/a01-000u-04-05.png,the
iam_words/words/a01/a01-000u/a01-000u-04-06.png,subject
iam_words/words/a01/a01-000u/a01-000u-05-00.png,and
iam_words/words/a01/a01-000u/a01-000u-05-01.png,he
iam_words/words/a01/a01-000u/a01-000u-05-02.png,is
iam_words/words/a01/a01-000u/a01-000u-05-03.png,to
iam_words/words/a01/a01-000u/a01-000u-05-04.png,be
iam_words/words/a01/a01-000u/a01-000u-05-05.png,backed
iam_words/words/a01/a01-000u/a01-000u-05-06.png,by
iam_words/words/a01/a01-000u/a01-000u-05-07.png,Mr.
iam_words/words/a01/a01-000u/a01-000u-05-08.png,Will
iam_words/words/a01/a01-000u/a01-000u-06-00.png,Griffiths
iam_words/words/a01/a01-000u/a01-000u-06-01.png,","
iam_words/words/a01/a01-000u/a01-000u-06-02.png,M P
iam_words/words/a01/a01-000u/a01-000u-06-03.png,for
iam_words/words/a01/a01-000u/a01-000u-06-04.png,Manchester
iam_words/words/a01/a01-000u/a01-000u-06-05.png,Exchange
iam_words/words/a01/a01-000u/a01-000u-06-06.png,.
iam_words/words/a01/a01-000x/a01-000x-00-00.png,A
iam_words/words/a01/a01-000x/a01-000x-00-01.png,MOVE
iam_words/words/a01/a01-000x/a01-000x-00-02.png,to
iam_words/words/a01/a01-000x/a01-000x-00-03.png,stop
iam_words/words/a01/a01-000x/a01-000x-00-04.png,Mr.
iam_words/words/a01/a01-000x/a01-000x-00-05.png,Gaitskell
iam_words/words/a01/a01-000x/a01-000x-00-06.png,from
iam_words/words/a01/a01-000x/a01-000x-00-07.png,nominating
iam_words/words/a01/a01-000x/a01-000x-01-00.png,any
iam_words/words/a01/a01-000x/a01-000x-01-01.png,more
iam_words/words/a01/a01-000x/a01-000x-01-02.png,Labour
iam_words/words/a01/a01-000x/a01-000x-01-03.png,life
iam_words/words/a01/a01-000x/a01-000x-01-04.png,Peers
iam_words/words/a01/a01-000x/a01-000x-01-05.png,is
iam_words/words/a01/a01-000x/a01-000x-01-06.png,to
iam_words/words/a01/a01-000x/a01-000x-01-07.png,be
iam_words/words/a01/a01-000x/a01-000x-01-08.png,made
iam_words/words/a01/a01-000x/a01-000x-01-09.png,at
iam_words/words/a01/a01-000x/a01-000x-01-10.png,a
iam_words/words/a01/a01-000x/a01-000x-02-00.png,meeting
iam_words/words/a01/a01-000x/a01-000x-02-01.png,of
iam_words/words/a01/a01-000x/a01-000x-02-02.png,Labour
iam_words/words/a01/a01-000x/a01-000x-02-03.png,0M Ps
iam_words/words/a01/a01-000x/a01-000x-02-04.png,tomorrow
iam_words/words/a01/a01-000x/a01-000x-02-05.png,.
